budget,bad_greedy coverage,bad_greedy cost_per_coverage,bad_greedy time,greedy coverage,greedy cost_per_coverage,greedy time,k=1 coverage,k=1 cost_per_coverage,k=1 time,k=2 coverage,k=2 cost_per_coverage,k=2 time,random coverage,random cost_per_coverage,random time
100.0,10.71,8.806208299999996,0.04,12.12,8.0005113,0.45,12.98,7.501074200000001,23.03,13.16,7.438797500000001,1130.67,4.64,28.09520490000001,0.0
200.0,16.39,11.850237300000002,0.01,19.06,10.2337398,0.28,19.85,9.842993300000002,21.75,20.01,9.7768566,1092.17,7.39,29.708713,0.0
300.0,20.74,14.069475400000005,0.0,24.73,11.907749500000001,0.3,25.52,11.560781400000003,21.58,25.68,11.494015,1084.7,9.29,34.10362599999999,0.0
400.0,24.76,15.648146000000004,0.02,29.6,13.256594000000007,0.25,30.35,12.945217000000003,21.17,30.52,12.888899000000002,1056.46,11.92,34.960786,0.0
500.0,28.35,17.203478,0.0,33.97,14.456972,0.13,34.78,14.192038000000007,20.7,34.93,14.127154000000008,1034.13,14.47,35.591119999999975,0.0
600.0,31.52,18.648910000000004,0.0,37.9,15.592143999999996,0.16,38.6,15.310241999999995,20.43,38.78,15.244802999999997,1025.25,16.77,36.76740299999999,0.0
700.0,34.48,19.897318999999985,0.01,41.42,16.628086,0.03,42.09,16.367013000000004,19.89,42.32,16.313503000000004,1001.71,19.34,36.88678999999999,0.0
800.0,37.49,20.916733000000004,0.0,44.67,17.628020999999997,0.03,45.42,17.383717,19.79,45.61,17.329857,988.8,21.8,37.296671,0.0
900.0,40.34,21.893309999999996,0.0,47.73,18.596374,0.09,48.38,18.343774999999997,19.76,48.58,18.276432999999994,982.06,24.11,37.874836,0.0
1000.0,43.05,22.840348,0.0,50.5,19.523389999999996,0.04,51.19,19.283683000000007,19.57,51.37,19.208397,975.1,26.08,38.863367,0.0
1100.0,45.39,23.829711000000007,0.0,53.13,20.433138999999994,0.06,53.74,20.177791,19.38,53.94,20.110286000000002,966.08,28.59,38.94634799999999,0.0
1200.0,47.75,24.714993000000003,0.0,55.54,21.311243,0.06,56.19,21.077267000000003,19.49,56.42,21.014427999999995,963.66,30.91,39.17962900000001,0.0
1300.0,49.79,25.665132,0.0,57.88,22.187031999999995,0.04,58.46,21.923640000000006,19.17,58.73,21.877424999999995,956.97,33.16,39.47114000000001,0.0
1400.0,51.78,26.60510799999999,0.0,60.04,23.027088000000003,0.05,60.62,22.771091000000002,19.27,60.89,22.717291000000003,954.66,35.14,40.201561,0.0
1500.0,53.76,27.512094000000012,0.0,62.13,23.862860000000005,0.04,62.76,23.630326000000004,19.2,62.96,23.543665999999995,950.77,37.52,40.257498,0.0
1600.0,55.63,28.435780000000005,0.0,64.04,24.649840000000005,0.01,64.68,24.424542000000002,19.35,64.87,24.332053999999992,953.06,39.22,40.98785500000001,0.0
1700.0,57.46,29.23865300000001,0.0,65.91,25.437132,0.04,66.58,25.230365000000006,19.32,66.76,25.128813,950.82,41.08,41.566463000000006,0.0
1800.0,59.17,30.033283999999984,0.0,67.73,26.22395,0.04,68.32,25.982262999999993,19.18,68.56,25.902278999999993,948.67,43.21,41.823835,0.0
1900.0,60.8,30.907857000000003,0.01,69.5,27.000205000000005,0.07,70.1,26.766003999999995,19.13,70.37,26.70155899999999,948.06,44.99,42.382277,0.0
2000.0,62.37,31.67084300000001,0.0,71.17,27.743314999999992,0.05,71.81,27.530746000000004,18.96,71.97,27.412439000000013,945.35,46.59,43.102119,0.0
